Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,504501,499757,4744,934564,4243,409676,2045,400,0.990597,0.991916,0.438361,0.991256,,,1.48975928106,1.86818193267
INDEL,PASS,504501,499631,4870,931109,3873,406718,2045,355,0.990347,0.992614,0.43681,0.991479,,,1.48975928106,1.85733086909
SNP,ALL,3327496,3301664,25832,3911077,29393,579192,3947,2425,0.992237,0.991178,0.14809,0.991707,2.10257588667,1.9618864482,1.53513660169,1.6698229055
SNP,PASS,3327496,3301663,25833,3911075,29393,579190,3947,2425,0.992237,0.991178,0.14809,0.991707,2.10257588667,1.96188493408,1.53513660169,1.66982153955
