Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,504501,501569,2932,939512,1280,415510,830,243,0.994188,0.997557,0.442262,0.99587,,,1.48975928106,1.95205946955
INDEL,PASS,504501,501569,2932,939512,1280,415510,830,243,0.994188,0.997557,0.442262,0.99587,,,1.48975928106,1.95205946955
SNP,ALL,3327496,3306511,20985,3814095,4567,501335,1421,401,0.993693,0.998621,0.131443,0.996151,2.10257588667,1.97858671207,1.53513660169,1.44651636556
SNP,PASS,3327496,3306511,20985,3814095,4567,501335,1421,401,0.993693,0.998621,0.131443,0.996151,2.10257588667,1.97858671207,1.53513660169,1.44651636556
