Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,511574,13895,922298,3207,385891,1666,251,0.973557,0.994021,0.418402,0.983683,,,1.52827573414,1.92408353091
INDEL,PASS,525469,511476,13993,919148,2865,383181,1665,196,0.97337,0.994655,0.416887,0.983897,,,1.52827573414,1.91384352833
SNP,ALL,3365127,3263164,101963,3809720,21931,523543,4255,1646,0.9697,0.993326,0.137423,0.981371,2.10012848676,1.95951738963,1.58119585325,1.6920069732
SNP,PASS,3365127,3221814,143313,3590659,8348,359415,1383,561,0.957412,0.997416,0.100097,0.977005,2.10012848676,2.02607798878,1.58119585325,1.66007677828
